table	lua_name	cpp_symbol	cpp_class	family	shape	nresults	impl_va	thunk_va	stub_va	vtable_va	s_name_slot	stanza_va
Actor	PlayLongIdle	PlayLongIdle		LuaGlueFunctor0	adapter	1	00714680	00717040	00717690	00fdeae0	0142d8f4	0070e8d5
Actor	PlayerBlockSabLighting	PlayerBlockSabLighting		LuaGlueFunctor0	inlined	1	00716330	00716330	00716350	00fdeb58	0142d930	0070edc1
Actor	PlayerOnSabSetGrenadeToExplode	PlayerOnSabSetGrenadeToExplode		LuaGlueFunctor0	adapter	1	0070c890	00716620	007167a0	00fdeb60	0142d934	0070ee15
Actor	PullFromVehicle	PullFromVehicle		LuaGlueFunctor0	adapter	1	00711cd0	00716f30	007175e0	00fdea80	0142d8c4	0070e4e5
Actor	Ragdoll	ActorRagdoll		LuaGlueFunctor0	adapter	1	00714230	00716b20	00717390	00fde930	0142d81c	0070d71d
Actor	RegisterRagdollCallback	RegisterRagdollCallback		LuaGlueFunctor0	adapter	1	0070efd0	007167e0	00716830	00fde9d0	0142d86c	0070ddad
Actor	RemoveDisguise	ActorRemoveDisguise		LuaGlueFunctor0	adapter	1	00712a70	00716ff0	00717660	00fdeac0	0142d8e4	0070e785
Actor	RequestAttrPt	RequestAttrPt		LuaGlueFunctor0	adapter	1	00710fa0	00716de0	00717520	00fdea18	0142d890	0070e0a1
Actor	ResetFallDamageDeath	ResetFallDamageDeath		LuaGlueFunctor0	inlined		007157c0	007157c0	007157e0	00fde8a0	0142d7d4	0070d135
Actor	ResetFallDamageMinSpeed	ResetFallDamageMinSpeed		LuaGlueFunctor0	inlined		00715860	00715860	00715880	00fde8b0	0142d7dc	0070d1dd
Actor	ResetFallDamageMult	ResetFallDamageMult		LuaGlueFunctor0	inlined		00715810	00715810	00715830	00fde8a8	0142d7d8	0070d189
Actor	ResetFallDamageRagdoll	ResetFallDamageRagdoll		LuaGlueFunctor0	inlined		00715770	00715770	00715790	00fde898	0142d7d0	0070d0e1
Actor	SetAnimPriority	SetAnimPriority		LuaGlueFunctor0	adapter	1	00712510	007168e0	00717230	00fde840	0142d7a4	0070cd45
Actor	SetAttrPt	ActorSetAttrPt		LuaGlueFunctor0	adapter	1	00711870	00716e70	00717570	00fdea40	0142d8a4	0070e245
Actor	SetAutoSeatTransition	SetAutoSeatTransition		LuaGlueFunctor0	adapter	1	00714bd0	007170c0	007176d0	00fdeb10	0142d90c	0070eacd
Actor	SetAutoUnboardOnOtherTeamBoard	SetAutoUnboardOnOtherTeamBoard		LuaGlueFunctor0	adapter	1	00714c80	007170e0	007176e0	00fdeb18	0142d910	0070eb21
Actor	SetBailWhenVehicleOnFire	SetBailWhenVehicleOnFire		LuaGlueFunctor0	adapter	1	00714b20	00717120	00717700	00fdeb30	0142d91c	0070ec1d
Actor	SetBreadCrumbs	SetBreadCrumbs		LuaGlueFunctor0	adapter	1	00714fe0	00716b00	00717380	00fde928	0142d818	0070d6c9
Actor	SetCannotGetOutOfSeat	SetCannotGetOutOfSeat		LuaGlueFunctor0	adapter	1	00711e20	00716f50	007175f0	00fdea88	0142d8c8	0070e539
Actor	SetDisguise	ActorSetDisguise		LuaGlueFunctor0	adapter	1	00712920	00716fd0	00717650	00fdeab8	0142d8e0	0070e731
Actor	SetDistantRagdollSound	SetDistantRagdollSound		LuaGlueFunctor0	adapter	1	00714170	00716b40	007173a0	00fde938	0142d820	0070d771
Actor	SetDontSpawnDeadGuys	SetDontSpawnDeadGuys		LuaGlueFunctor0	adapter	1	0070ca90	00716640	007167b0	00fdeb80	0142d944	0070ef65
